"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AZ1","AZ2","KA1","KA2","OD1","REM","EQD"
"71006099999","2014-01-01T00:00:00","4","52.3","-111.7666666","737.0","ALLIANCE AGCM, CA","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0196,1","-0221,1","99999,9","06,0004,3,1","24,0025,3,1","4,1,02,1",,"120,M,-0177,1","120,N,-0214,1",,"SYN06471006 17/// /1402 11196 21221 69941 7//4/ 333 11177 21214 70025=",
"71006099999","2014-01-01T00:00:00","4","52.3","-111.7666666","737.0","ALLIANCE AGCM, CA","SAO  ","99999","V020","140,1,9,0010,1","99999,9,9,9","999999,9,9,9","-0196,1","-0221,1","99999,9",,,,,,,,"AWY053PAA SA 0000 AUTO8 M M M M/-20/-22/1402/M/0004 M 61MM=",
"71006099999","2014-01-01T01:00:00","4","52.3","-111.7666666","737.0","ALLIANCE AGCM, CA","SAO  ","99999","V020","360,1,9,0000,1","99999,9,9,9","999999,9,9,9","-0212,1","-0233,1","99999,9",,,,,,,,"AWY049PAA SA 0100 AUTO8 M M M M/-21/-23/0000/M/ M 23MM=",
"71006099999","2014-01-01T02:00:00","4","52.3","-111.7666666","737.0","ALLIANCE AGCM, CA","SAO  ","99999","V020","310,1,9,0026,1","99999,9,9,9","999999,9,9,9","-0237,1","-0255,1","99999,9",,,,,,,,"AWY049PAA SA 0200 AUTO8 M M M M/-24/-26/3105/M/ M 75MM=",
"71006099999","2014-01-01T03:00:00","4","52.3","-111.7666666","737.0","ALLIANCE AGCM, CA","SAO  ","99999","V020","310,1,9,0026,1","99999,9,9,9","999999,9,9,9","-0235,1","-0262,1","99999,9",,,,,,,,"AWY049PAA SA 0300 AUTO8 M M M M/-24/-26/3105/M/ M 52MM=",
"71006099999","2014-01-01T04:00:00","4","52.3","-111.7666666","737.0","ALLIANCE AGCM, CA","SAO  ","99999","V020","310,1,9,0015,1","99999,9,9,9","999999,9,9,9","-0240,1","-0258,1","99999,9",,,,,,,,"AWY049PAA SA 0400 AUTO8 M M M M/-24/-26/3103/M/ M 08MM=",
"71006099999","2014-01-01T05:00:00","4","52.3","-111.7666666","737.0","ALLIANCE AGCM, CA","SAO  ","99999","V020","300,1,9,0010,1","99999,9,9,9","999999,9,9,9","-0218,1","-0238,1","99999,9",,,,,,,,"AWY049PAA SA 0500 AUTO8 M M M M/-22/-24/3002/M/ M 88MM=",
"71006099999","2014-01-01T06:00:00","4","52.3","-111.7666666","737.0","ALLIANCE AGCM, CA","FM-12","99999","V020","220,1,N,0005,1","99999,9,9,N","999999,9,9,9","-0229,1","-0249,1","99999,9","06,0000,9,1","24,0015,3,1",,,"240,M,-0177,1","240,N,-0246,1",,"SYN07471006 15/// /2201 11229 21249 60001 333 11177 21246 70015 555 31521 40161=",
"71006099999","2014-01-01T06:00:00","4","52.3","-111.7666666","737.0","ALLIANCE AGCM, CA","SAO  ","99999","V020","220,1,9,0005,1","99999,9,9,9","999999,9,9,9","-0229,1","-0249,1","99999,9",,,,,,,,"AWY049PAA SA 0600 AUTO8 M M M M/-23/-25/2201/M/ M 99MM=",
"71006099999","2014-01-01T07:00:00","4","52.3","-111.7666666","737.0","ALLIANCE AGCM, CA","SAO  ","99999","V020","130,1,9,0005,1","99999,9,9,9","999999,9,9,9","-0220,1","-0237,1","99999,9",,,,,,,,"AWY049PAA SA 0700 AUTO8 M M M M/-22/-24/1301/M/ M 07MM=",
